"#","#","*","-","-","-","(Last updated: August 2026)","","Sardinia 2026","","","","","","","","","Austria 2025","","","","","","","","","Sardinia 2025","","","","","","","","","AC 2024","","","","","","","","","Sardinia 2024","","","","","","","","","WC 2023","","","","","","","","","AC 2019","","","","","","","","","AC 2017","","","","","","","","","EC 2017","","","","","","","","","WC 2016","","IC 2015","","","","","","","","WC 2014","","WC 2013","",""
"","","","Name","Player","Team","Continent","","100%","","","S-R","","","","","BP","100%","","","S-R","","","","","","75%","","","S-R","","","","","","75%","","","S-R","","","","","","50%","","","S-R","","","","","","62%","","","S-R","","","","","","10%","","","S-R","","","","","","1%","","","S-R","","","","","","1%","","","S-R","","","","","","28%","","1%","","","","","","","","12%","","5%","",""
"92","","","Juan Carlos","Arbelaez","Colombia","America","18,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","18,00","18","S","1,0","4","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","","","Gianluca","Mussoto","Chile","America","18,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","18","18","S","1,0","4","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","","","Gabriel","Vasquez","Ecuador","America","18,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","18,0","18","S","1,0","4","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","","","Fernando","Marinelli","Paraguay","America","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","18","18","S","1,0","4","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93","66","","Francisco ""Patxo""","Tomás","Germany","Europe","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","16","10","S","1,0","4","4","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","67","","Mattia","Piastra","Italy","Europe","15,0","","","","","","","","","","","","","","","","","","","FG","15","15","S","1,0","4","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1,0","4","4","0","0","","","","",""
"94","67","","César","Ortellado","Germany","Europe","15,0","","","","","","","","","","","","","","","","","","","FG","15","15","S","1,0","4","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1,0","4","4","0","0","","","","",""
"95","68","","Alessandro","Mura","Italy","Europe","13,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","13","10","S","1,0","4","4","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","68","","Alessio","Cappai","Italy","Europe","13,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","13","10","S","1,0","4","4","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","68","","Pedro","Carrion","Spain","Europe","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","13","10","S","1,0","4","4","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","68","","Manuel","Guerra","Spain","Europe","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","13","10","S","1,0","4","4","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","","","Claudio","Oeiras","Portugal","Europe","12,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","12","","",""
"97","","","Claudio","Ciferri","Italy","Europe","11,4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","11,4","","",""
"97","","","Claudio","Roscioli","Italy","Europe","11,4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","11,4","","",""
"97","","","","Walker","Sweden","Europe","11,4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","11,4","","",""
"97","","","","Malmberg","Sweden","Europe","11,4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","11,4","","",""
"98","","","","Khepizadeh","Sweden","Europe","10,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","10,8","","",""
"98","","","","Gustafsson","Sweden","Europe","10,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","10,8","","",""
"98","","","David","Soto","Mexico","America","10,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","10,8","","",""
"99","69","","Andrea","Fanni","Italy","Europe","10,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","10","10","S","1,0","4","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","69","","Gianluca","Podda","Italy","Europe","10,00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","10","10","S","1,0","4","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","69","","Diego","Di Gennaro","Italy","Europe","10,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","10,0","10","S","1,0","4","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","69","","Gianluca","Saba","Italy","Europe","10,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","10,0","10","S","1,0","4","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","","","Iñaki","Iniesta Vicent","Spain","Europe","6,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","6,0","6","S","1,0","6,0","6","5","0","","","","","","","","","","","","","","",""
"100","","","Juan","Gil Vicent","Spain","Europe","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","6","6","S","1,0","6,0","6","5","0","","","","","","","","","","","","","","",""
"101","","","Pampero","Sobral","Uruguay","America","5,7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","0,9","0,9","1,0","5","5","3","0","","","FG","4,75",""
"102","70","","Pablo","Acosta","Spain","Europe","5,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","5,00","10","R","0,3","4","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102","","","Jesús Chus","Almeida","Spain","Europe","5,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","5","5","1,0","7","7","7","0","","","","",""
"102","","","Jorge","Belza","Spain","Europe","5,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","5,0","5","1,0","7","7","7","0","","","","",""
"103","","","Nicolás","González","Uruguay","America","4,9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,9","4,5","S","1,0","3","3","1","0,4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103","","","Maximiliano","Pérez","Uruguay","America","4,9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,9","4,5","S","1,0","3","3","1","0,4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104","","","Rafael","Nadal","Argentina","America","4,75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,75",""
"104","","","Martín","Orlandi","Argentina","America","4,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,75",""
"104","","","Marcos","Pérez","Argentina","America","4,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,75",""
"104","","","Jonatan","Luquez","Argentina","America","4,75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,75",""
"104","","","","Martínez","Uruguay","America","4,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,75",""
"104","","","Fabian","Canaveris","Uruguay","America","4,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,75",""
"104","","","","Cabrera","Uruguay","America","4,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,75",""
"104","","","","Britos","Uruguay","America","4,75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,75",""
"104","","","","Silveira","Uruguay","America","4,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,75",""
"105","","","(p)","Martínez","Argentina","America","4,50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,5",""
"105","","","(h)","Martínez","Argentina","America","4,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,5",""
"105","","","","Corsi","Italy","Europe","4,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,5",""
"105","","","Pablo","Rodríguez","Chile","America","4,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,5","4,5","S","1,0","3","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105","","","Gonzalo","Gravano","Argentina","America","4,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,5","4,5","S","1,0","3","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105","","","Esteban","Chávez","Chile","America","4,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,5","4,5","S","1,0","3","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105","","","Clemente","Yapur","Chile","America","4,50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,5","4,5","S","1,0","3","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105","","","Carlos","Gallegos","Chile","America","4,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","4,5","4,5","S","1,0","3","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"106","","","Alejandro","Roberti","Uruguay","America","3,75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3,75","3,75","S","1,0","7,0","7","4","0","","","","","","","","","","","","","","","","","","","","","","","",""
"107","","","","André","Brazil","America","3,3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3,3","3,25","S","0,7","7,0","5","2","0","","","","","","","","","","","","","","","","","","","","","","","",""
"107","","","Alexandre","Laranja","Brazil","America","3,3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3,3","3,25","S","1,0","7,0","7","2","0","","","","","","","","","","","","","","","","","","","","","","","",""
"108","","","Aitor","Arana","Spain","Europe","1,9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1,9","1,9","1,0","7","7","5","0","","","","",""
"108","","","Jonatan","Santana","Spain","Europe","1,9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1,9","1,9","1,0","7","7","5","0","","","","",""
"109","","","Danilo","Caldera","Brazil","America","1,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1,6","3,25","R","0,4","7,0","3","1","0","","","","","","","","","","","","","","","","","","","","","","","",""
"110","","","Dennis","Fransson","Sweden","Europe","1,4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,5","0,45","S","1,0","3,0","3","1","0,04","","","4F","0,9","0,9","1,0","5","5","2","0","","","","",""
"110","","","Joakim","Frohm ","Sweden","Europe","1,4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,49","0,45","S","1,0","3,0","3","1","0,04","","","4F","0,9","0,9","1,0","5","5","2","0","","","","",""
"111","","","Renato","Cardona","Paraguay","America","0,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0,49","0,45","S","1,0","5,0","5","1","0,04","","","","","","","","","","","","","","","","","","","","","","","",""
"111","","","","Palhinhas","Portugal","Europe","0,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,49","0,45","S","1,0","3,0","3","1","0,04","","","","","","","","","","","","","","",""
"111","","","","Ferreira","Portugal","Europe","0,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,49","0,45","S","1,0","3,0","3","1","0,04","","","","","","","","","","","","","","",""
"111","","","","Zeilingen","Germany","Europe","0,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,49","0,45","S","1,0","3,0","3","1","0,04","","","","","","","","","","","","","","",""
"111","","","","Huber","Germany","Europe","0,49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,49","0,45","S","1,0","3,0","3","1","0,04","","","","","","","","","","","","","","",""
"111","","","Cristian","Stanescu","Romania","Europe","0,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,5","0,45","S","1,0","3,0","3","1","0,04","","","","","","","","","","","","","","",""
"111","","","Carlos","Santo","Paraguay","America","0,49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0,49","0,45","S","1,0","5","5","1","0,04","","","","","","","","","","","","","","","","","","","","","","","",""
"112","","","","Pedrinho","Brazil","America","0,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0,5","0,45","S","1,0","5","5","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"112","","","","Fabinho","Brazil","America","0,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0,45","0,45","S","0,6","5","3","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"112","","","","Di Nardo","Italy","Europe","0,45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,45","0,45","S","1,0","3,0","3","0","0","","","","","","","","","","","","","","",""
"112","","","","Cardellini","Italy","Europe","0,45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,45","0,45","S","1,0","3,0","3","0","0","","","","","","","","","","","","","","",""
"112","","","","de Jonkheere","Belgium","Europe","0,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,45","0,45","S","1,0","3,0","3","0","0","","","","","","","","","","","","","","",""
"112","","","","van Holm","Belgium","Europe","0,45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,45","0,45","S","1,0","3,0","3","0","0","","","","","","","","","","","","","","",""
"112","","","","Geerardy","Belgium","Europe","0,45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,45","0,45","S","1,0","3,0","3","0","0","","","","","","","","","","","","","","",""
"112","","","","Meesschaert","Belgium","Europe","0,45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,45","0,45","S","1,0","3,0","3","0","0","","","","","","","","","","","","","","",""
"112","","","","Roberti","France","Europe","0,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,45","0,45","S","1,0","3,0","3","0","0","","","","","","","","","","","","","","",""
"112","","","","Touré","France","Europe","0,45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,45","0,45","S","1,0","3,0","3","0","0","","","","","","","","","","","","","","",""
"113","","","","Maxime","France","Europe","0,2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,2","0,2","1,0","4","4","1","0,03","","","","",""
"113","","","","Vernier","France","Europe","0,23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,23","0,2","1,0","4","4","1","0,03","","","","",""
"113","","","","Dumitrescu","Romania","Europe","0,23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,23","0,2","1,0","4","4","1","0,03","","","","",""
"113","","","","Marian","Romania","Europe","0,23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,23","0,2","1,0","4","4","1","0,03","","","","",""
"113","","","","Rubertá","Italy","Europe","0,23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,23","0,2","1,0","4","4","1","0,03","","","","",""
"113","","","","Aldo","Brazil","America","0,23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,23","0,2","1,0","4","4","1","0,03","","","","",""
"113","","","","Fernando","Brazil","America","0,23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,23","0,2","1,0","4","4","1","0,03","","","","",""
"113","","","","Neaga","Romania","Europe","0,23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,23","0,2","1,0","4","4","1","0,03","","","","",""
"114","","","","Hamilton","Brazil","America","0,225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0,225","0,45","R","0,6","5","3","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"115","","","","Schneeberger","Switzerland","Europe","0,2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,2","0,2","1,0","4","4","0","0","","","","",""
"115","","","","Lulic","Switzerland","Europe","0,2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,2","0,2","1,0","4","4","0","0","","","","",""
"115","","","","Messerli","Switzerland","Europe","0,2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FG","0,2","0,2","1,0","4","4","0","0","","","","",""
