"#","#","*","-","-","-","(Last updated: August 2026)","","Sardinia 2026","","","","","","","","","Austria 2025","","","","","","","","","Sardinia 2025","","","","","","","","","AC 2024","","","","","","","","","Sardinia 2024","","","","","","","","","WC 2023","","","","","","","","","AC 2019","","","","","","","","","AC 2017","","","","","","","","","EC 2017","","","","","","","","","WC 2016","","IC 2015","","","","","","","","WC 2014","","WC 2013","",""
"","","","Name","Player","Team","Continent","","100%","","","S-R","","","","","BP","100%","","","S-R","","","","","","75%","","","S-R","","","","","","75%","","","S-R","","","","","","50%","","","S-R","","","","","","62%","","","S-R","","","","","","10%","","","S-R","","","","","","1%","","","S-R","","","","","","1%","","","S-R","","","","","","28%","","1%","","","","","","","","12%","","5%","",""
"23","21","","Francisco","Santiago","Spain","Europe","403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","403","403","S","0,9","8","7","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","22","","Benjamín","Di Benedetto","Argentina","America","359,85","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","243,75","243,75","S","1,0","6","6","3","0","","","","","","","","","","4F","111,6","223,2","R","0,2","6","1","1","0","FG","4,5","4,5","S","1,0","3","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","23","","Leo","Lindoso","Brazil","America","358,2","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","135","135","S","1,0","4","4","2","0","","","","","","","","","","4F","223,2","223,2","S","1,0","6","6","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","23","","Leonardo ""Peleo""","Santana","Brazil","America","358,2","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","135","135","S","1,0","4","4","2","0","","","","","","","","","","4F","223,2","223,2","S","0,8","6","5","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","24","","Hamed","Al-Ahbabi","Qatar","Asia","336,6","","","","","","","","","","4F","90","90","S","1,0","6","6","3","0","","","","","","","","","","4F","135","135","S","1,0","4","4","1","0","","","","","","","","","","4F","111,6","223,2","R","0,3","6","2","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","25","","Gabriel","Soares García","Brazil","America","319,4","","","","","","","","","","4","170","170","S","1,0","7","7","4","0","","","","","","","","","","FG","37,75","33,75","S","1,0","3","3","1","4","","","","","","","","","","4F","111,6","223,2","R","0,3","6","2","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","26","*","Daniel","Matinca","Romania","Europe","300,0","2","300","300","S","0,0","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","27","","Pablo","Sánchez","Uruguay","America","285,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","281,25","281,25","S","1,0","6","6","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3,75","3,75","S","1,0","7,0","7","4","0","","","","","","","","","","","","","","","","","","","","","","","",""
"30","28","","Mathias","Aguirre","Uruguay","America","281,3","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","281,25","281,25","S","1,0","6","6","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","S","1,0","7,0","7","4","0","","","","","","","","","","","","","","","","","","","","","","","",""
"31","","","Lisandro","Narbaitz","Argentina","America","274,2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","210","2","3","3","1,0","7","7","6","0","4F","43,2","4F","18",""
"32","29","*","Mugurel","Vrabie","Romania","Europe","250","1","250","500","R","0,0","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","","","Toni","Palacios","Spain","Europe","244,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","144","1","100",""
"33","","","Eleazar","Ocaña","Spain","Europe","244,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","144","1","100",""
"34","30","*","Filippo","Lai","Italy","Europe","235,4","4R","45","45","S","1,0","5","5","2","","4F","45","90","R","0,3","6","2","1","0","4R","33,75","33,75","S","1,0","6","6","2","0","","","","","","","","","","","","","","","","","","","4F","111,6","223,2","R","0,3","6","2","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","31","*","Filipe","Santos","Portugal","Europe","217,5","4F","90","90","S","1,0","6","6","3","","","","","","","","","","","4","127,5","127,5","S","1,0","8","8","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1,0","4","4","0","0","","","","",""
"36","32","","David","Vásquez","Ecuador","America","213,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","135","135","S","1,0","4","4","1","0","","","","","","","","","","FG","60,8","55,8","S","1,0","5","5","1","5","4F","18","18","S","1,0","4","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
